school_rank,school_name,school_id,school_state,professor_id,professor_legacy_id,professor_first,professor_last,department,avg_rating,avg_difficulty,would_take_again_percent,num_ratings,profile_url
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yODQ4NjM4,2848638,Samantha,Chang,Art History,4.7,1.6,88.8889,9,https://www.ratemyprofessors.com/professor/2848638
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0xODc3MDkz,1877093,Kripa,Freitas,Economics,2.5,4.3,33.7778,240,https://www.ratemyprofessors.com/professor/1877093
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTg0MTkz,2984193,Tyler,Paul,Economics,3.8,3.6,69.4915,59,https://www.ratemyprofessors.com/professor/2984193
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yNjA1MzMw,2605330,Yukiko,Tanaka,Sociology,4.3,2.3,79.5455,44,https://www.ratemyprofessors.com/professor/2605330
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yNTY0MTE4,2564118,Paulo,Koeberle,Medicine,3,3.9,50,14,https://www.ratemyprofessors.com/professor/2564118
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTMzNjc2,2933676,Marcin,Janczak,Languages,3.4,3.3,50,8,https://www.ratemyprofessors.com/professor/2933676
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTk4NjI4,2998628,Andrei,Swidinsky,Geology,3.3,3,33.3333,3,https://www.ratemyprofessors.com/professor/2998628
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yMzU4MTU4,2358158,Cathie,Sutton,Anthropology,1.7,3.3,0,3,https://www.ratemyprofessors.com/professor/2358158
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDcwMDg2,3070086,nkem,ike,Anthropology,5,1,100,1,https://www.ratemyprofessors.com/professor/3070086
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yNjIzOTMx,2623931,Eamon,Darnell,Philosophy,2.8,3.2,43.6364,55,https://www.ratemyprofessors.com/professor/2623931
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yODk2Mjg2,2896286,Odilia,Yim,Psychology,1.5,4.4,10.2564,39,https://www.ratemyprofessors.com/professor/2896286
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDkyNDY5,3092469,Caleb,Pomeroy,Political Science,5,1.7,100,15,https://www.ratemyprofessors.com/professor/3092469
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yODgwNTg0,2880584,Jooyung,Lee,Sociology,3.2,2.6,60,5,https://www.ratemyprofessors.com/professor/2880584
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yODg1NDA1,2885405,Swastik,Kopparty,Computer Science,2,3.3,25,4,https://www.ratemyprofessors.com/professor/2885405
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDA2MDkz,3006093,Boris,Braverman,Physics,0,0,-1,0,https://www.ratemyprofessors.com/professor/3006093
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDY1Njgy,3065682,Dimitrios,Karslidis,Mathematics,4.5,2.3,93.3333,15,https://www.ratemyprofessors.com/professor/3065682
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTk2NTM1,2996535,Emil,Marmol,Educational Research,1.4,4.9,10,10,https://www.ratemyprofessors.com/professor/2996535
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTM5NzIy,2939722,Patrick,Watson,Social Science,3,3.3,45,20,https://www.ratemyprofessors.com/professor/2939722
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTY3NDQz,2967443,Adriana,Brook,Classics,4.8,2.5,100,6,https://www.ratemyprofessors.com/professor/2967443
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDA4MDYw,3008060,Madeleine, Orr,Physical Education,4,2.2,60,5,https://www.ratemyprofessors.com/professor/3008060
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDgwMzY5,3080369,Yoonkyung,Lee,Sociology,2,4,20,5,https://www.ratemyprofessors.com/professor/3080369
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMTYwMjI3,3160227,Salma,Sheikh-Mohamed ,Biology,4,2.3,75,4,https://www.ratemyprofessors.com/professor/3160227
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDA4OTI5,3008929,Leafia ,Ye,Sociology,2.8,3.5,50,4,https://www.ratemyprofessors.com/professor/3008929
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDMyMTc0,3032174,Matthew,Robbins ,Physics,2.8,3.5,41.5929,113,https://www.ratemyprofessors.com/professor/3032174
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDc5MDIx,3079021,Claudia,Paparella,Art History,5,2.6,100,9,https://www.ratemyprofessors.com/professor/3079021
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDIyODQ1,3022845,Kylie,Luska,Chemistry,5,2.5,100,47,https://www.ratemyprofessors.com/professor/3022845
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yNjQ1ODUw,2645850,Victor,Falkenheim,Political Science,5,2.2,100,39,https://www.ratemyprofessors.com/professor/2645850
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yODIxNDE2,2821416,Wafaa,Hasan,Women & Gender Studies,4.9,2.3,96.2963,27,https://www.ratemyprofessors.com/professor/2821416
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yMjI3ODEy,2227812,Ali,Feizmohammadi,Mathematics,4.1,3.6,73.913,23,https://www.ratemyprofessors.com/professor/2227812
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMTIwMTI3,3120127,Deidre,Flynn,English,1.4,3.5,0,16,https://www.ratemyprofessors.com/professor/3120127
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yNDczOTkx,2473991,Andrew,Lesk,English,2.4,3.8,37.5,16,https://www.ratemyprofessors.com/professor/2473991
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTQ2MTQ1,2946145,Joseph,Dattilo ,Political Science,2.3,4.4,37.5,16,https://www.ratemyprofessors.com/professor/2946145
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0zMDA3ODM2,3007836,Rory,Lindsay,Religion,5,1.6,100,15,https://www.ratemyprofessors.com/professor/3007836
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTIxOTcz,2921973,Christopher,Petrakos,History,4.6,2.6,90.9091,11,https://www.ratemyprofessors.com/professor/2921973
1,University of Toronto,U2Nob29sLTEyMTg0,ON,VGVhY2hlci0yOTg5MDEy,2989012,Samuel,Akinbo,Humanities,2.9,3.6,45.4545,11,https://www.ratemyprofessors.com/professor/2989012
